name,domain_name,media_outlet_type,state,bias,active
Billboard,billboard.com,Web Publication,Unspecified,Center,TRUE
Lancaster Online,lancasteronline.com,Local News Outlet,Pennsylvania,Center,TRUE
Des Moines Register,desmoinesregister.com,Local News Outlet,Iowa,Center,TRUE
DTN Progressive Farmer,dtnpf.com,Local News Outlet,Minnesota,Center,TRUE
Fayetteville Observer ,fayobserver.com,Local News Outlet,Unspecified,Center,TRUE
The Dispatch,thedispatch.com,Opinion Journal,Unspecified,Center Right,TRUE
VT Digger,vtdigger.org,Opinion Journal,Vermont,Center,TRUE
Jesuit Refugee Service,jrs.net,Advocacy Group,Unspecified,Center,TRUE
Mid-Michigan Now,midmichigannow.com,Local News Outlet,Michigan,Center,TRUE
Rapid City Journal,rapidcityjournal.com,Local News Outlet,South Dakota,Center,TRUE
South Dakota Standard,sdstandardnow.com,Local News Outlet,South Dakota,Center,TRUE
The State News,statenews.com,Local News Outlet,Michigan,Center,TRUE
Transylvania Times,transylvaniatimes.com,Local News Outlet,North Carolina,Center,TRUE
Union-Bulletin,union-bulletin.com,Local News Outlet,Washington,Center,TRUE
Alabama Reflector,alabamareflector.com,Local News Outlet,Alabama,Center,TRUE
Boston Herald,bostonherald.com,Local News Outlet,Massachusetts,Center,TRUE
The Chronicle,chronline.com,Local News Outlet,Washington,Center,TRUE
CT Insider,ctinsider.com,Local News Outlet,Connecticut,Center,TRUE
CT Post,ctpost.com,Local News Outlet,Connecticut,Center,TRUE
Door County Pulse,doorcountypulse.com,Local News Outlet,Wisconsin,Center,TRUE
Deparment Of Education,ed.gov,Other,Unspecified,Center,TRUE
San ANtonio Express-News,expressnews.com,Local News Outlet,Texas,Center,TRUE
Houston Chronicle,houstonchronicle.com,Local News Outlet,Texas,Center,TRUE
Iowa Capital Dispatch,iowacapitaldispatch.com,Local News Outlet,Iowa,Center,TRUE
Kansas City Star,kansascity.com,Local News Outlet,Kansas,Center,TRUE
Kansas Reflector,kansasreflector.com,Local News Outlet,Kansas,Center,TRUE
KARK,kark.com,Local Broadcast News,Arkansas,Center,TRUE
Washington City Paper,washingtoncitypaper.com,Local News Outlet,District of Columbia,Left,TRUE
KBHB Radio,kbhbradio.com,Local Broadcast News,South Dakota,Center,TRUE
Louisianna Illuminator,lailluminator.com,Local News Outlet,Louisiana,Center,TRUE
Manisteee News Advocate,manisteenews.com,Local News Outlet,Michigan,Center,TRUE
MassLive,masslive.com,Local News Outlet,Massachusetts,Center,TRUE
Huron Daily Tribune,michigansthumb.com,Local News Outlet,Michigan,Center,TRUE
Montgomery Advertiser,montgomeryadvertiser.com,Local News Outlet,Alabama,Center,TRUE
Midland Reporter-Telegram,mrt.com,Local News Outlet,Texas,Center,TRUE
New Haven Register,nhregister.com,Local News Outlet,Connecticut,Center,TRUE
Midland Daily News,ourmidland.com,Local News Outlet,Michigan,Center,TRUE
Santa Fe New Mexican,santafenewmexican.com,Local News Outlet,New Mexico,Center,TRUE
South Dakota Public Broadcasting,sdpb.org,Local Broadcast News,South Dakota,Center,TRUE
Spokesman-Review,spokesman.com,Local News Outlet,Washington,Center,TRUE
Stamford Advocate,stamfordadvocate.com,Local News Outlet,Connecticut,Center,TRUE
Tennessee Lookout,tennesseelookout.com,Local News Outlet,Tennessee,Center,TRUE
The Reflector,thereflector.com,Local News Outlet,Washington,Center,TRUE
Arizona Daily Star,tucson.com,Local News Outlet,Arizona,Center,TRUE
Virginia Mercury,virginiamercury.com,Local News Outlet,Virginia,Center,TRUE
WGBH Boston,wgbh.org,Local News Outlet,Massachusetts,Center,TRUE
Albuquerque Journal,abqjournal.com,Local News Outlet,New Mexico,Center,TRUE
American Foreign Service,afsa.org,Opinion Journal,Unspecified,Center,TRUE
AL.com,al.com,Local News Outlet,Alabama,Center,TRUE
Democracy Now!,democracynow.org,Web Publication,Unspecified,Left,TRUE
Forbes,forbes.com,National News Outlet,Unspecified,Center,TRUE
International Business Times,ibtimes.com,National News Outlet,Unspecified,Center,TRUE
Market  Watch,marketwatch.com,National News Outlet,Unspecified,Center,TRUE
Newsweek,newsweek.com,National News Outlet,Unspecified,Center Right,TRUE
Pittsburgh City Paper,pghcitypaper.com,Local News Outlet,Pennsylvania,Center,TRUE
Raw Story,rawstory.com,Web Publication,Unspecified,Left,TRUE
Seatle Times,seattletimes.com,Local News Outlet,Washington,Center,TRUE
The Street,thestreet.com,Web Publication,Unspecified,Center,TRUE
TruthDig,truthdig.com,Web Publication,Unspecified,Left,TRUE
Boise State Public Radio,boisestatepublicradio.org,Local Broadcast News,Idaho,Center,TRUE
Herald Tribune,heraldtribune.com,Local News Outlet,Florida,Center,TRUE
Idaho Statesman,idahostatesman.com,Local News Outlet,Idaho,Center,TRUE
Insider NJ,insidernj.com,Local News Outlet,New Jersey,Center,TRUE
Las Vegas Sun,lasvegassun.com,Local News Outlet,Nevada,Center,TRUE
Miami Herald,miamiherald.com,Local News Outlet,Florida,Center,TRUE
Nevada Appeal,nevadaappeal.com,Local News Outlet,Nevada,Center,TRUE
News 12 Long Island,news12.com,Local Broadcast News,New York,Center,TRUE
Bergen Record,northjersey.com,Local News Outlet,New Jersey,Center,TRUE
Pahrump Valley Times,pvtimes.com,Local News Outlet,Nevada,Center,TRUE
ABC 11,abc11.com,Local Broadcast News,North Carolina,Center,TRUE
ABC 17 News,abc17news.com,Local Broadcast News,Missouri,Center,TRUE
ABC Columbia,abccolumbia.com,Local Broadcast News,South Carolina,Center,TRUE
Ag Week,agweek.com,Web Publication,Unspecified,Center,TRUE
Bitterroot Star,bitterrootstar.com,Local News Outlet,Montana,Center,TRUE
The Black Chronicle,blackchronicle.com,Local News Outlet,Oklahoma,Center,TRUE
Bladen Journal,bladenjournal.com,Local News Outlet,North Carolina,Center,TRUE
Biblical Recorder,brnow.org,Web Publication,Unspecified,Center,TRUE
Butler Country Times-Gazette,butlercountytimesgazette.com,Local News Outlet,Kansas,Center,TRUE
Carolina Coast Online,carolinacoastonline.com,Local News Outlet,North Carolina,Center,TRUE
Charleston Mercury,charlestonmercury.com,Local News Outlet,South Carolina,Center,TRUE
Salt Lake City Weekly,cityweekly.net,Local News Outlet,Utah,Center,TRUE
The Corrales Comment,corralescomment.com,Local News Outlet,New Mexico,Center,TRUE
Daily Tar Heel,dailytarheel.com,Local News Outlet,North Carolina,Center,TRUE
Devil''s Lake Daily Journal,devilslakejournal.com,Local News Outlet,North Dakota,Center,TRUE
Flathead Beacon,flatheadbeacon.com,Local News Outlet,Montana,Center,TRUE
Fox 13 News,fox13now.com,Local News Outlet,Utah,Center,TRUE
Fox Carolina,foxcarolina.com,Local News Outlet,South Carolina,Center,TRUE
Great Bend Tribune,gbtribune.com,Local News Outlet,Kansas,Center,TRUE
Gephardt Daily,gephardtdaily.com,Local News Outlet,Utah,Center,TRUE
InForum,inforum.com,Local News Outlet,North Dakota,Center,TRUE
The Insider,insiderutah.com,Local News Outlet,Utah,Center,TRUE
Iola Register,iolaregister.com,Local News Outlet,Kansas,Center,TRUE
The Jamestown Sun,jamestownsun.com,Local News Outlet,North Dakota,Center,TRUE
The Journal Record,journalrecord.com,Local News Outlet,Oklahoma,Center,TRUE
KBZK Bozeman,kbzk.com,Local Broadcast News,Montana,Center,TRUE
KFDI,kfdi.com,Local Broadcast News,Kansas,Center,TRUE
KFGO,kfgo.com,Local Broadcast News,North Dakota,Center,TRUE
KJRH,kjrh.com,Local Broadcast News,Oklahoma,Center,TRUE
KMBC,kmbc.com,Local Broadcast News,Missouri,Center,TRUE
Know News Radio,knoxradio.com,Local Broadcast News,North Dakota,Center,TRUE
KOAT,koat.com,Local Broadcast News,New Mexico,Center,TRUE
KOCO,koco.com,Local Broadcast News,Oklahoma,Center,TRUE
KPAX,kpax.com,Local Broadcast News,Montana,Center,TRUE
KSAL,ksal.com,Local Broadcast News,Kansas,Center,TRUE
KSDK,ksdk.com,Local Broadcast News,Missouri,Center,TRUE
KSJB Radio,ksjbam.com,Local Broadcast News,North Dakota,Center,TRUE
KTTS,ktts.com,Local Broadcast News,Missouri,Center,TRUE
KVRR,kvrr.com,Local Broadcast News,North Dakota,Center,TRUE
KXLF,kxlf.com,Local Broadcast News,Montana,Center,TRUE
Mid-Utah Radio,midutahradio.com,Local Broadcast News,Utah,Center,TRUE
Winthrop University Student Newspaper,mytjnow.com,Local News Outlet,South Carolina,Center,TRUE
NDSY Spectrum,ndsuspectrum.com,Local News Outlet,North Dakota,Center,TRUE
NonDoc,nondoc.com,Local News Outlet,Oklahoma,Center,TRUE
Nortwest Arkansas Democrat,nwaonline.com,Local News Outlet,Arkansas,Center,TRUE
Park Record,parkrecord.com,Local News Outlet,Utah,Center,TRUE
Providence Business News,pbn.com,Local News Outlet,Rhode Island,Center,TRUE
The Roundup - Sidney,roundupweb.com,Local News Outlet,Montana,Center,TRUE
St Louis Chinese American News,scanews.com,Local News Outlet,Missouri,Center,TRUE
Sheridan Media,sheridanmedia.com,Local News Outlet,Wyoming,Center,TRUE
Salt Lake Tribune,sltrib.com,Local News Outlet,Utah,Center,TRUE
Spectrum News,spectrumlocalnews.com,Local News Outlet,Unspecified,Center,TRUE
Student Life,studlife.com,Local News Outlet,Missouri,Center,TRUE
Telemundo  Utah,telemundoutah.com,Local News Outlet,Utah,Center,TRUE
The Dialogue,thedialog.org,Local News Outlet,Delaware,Center,TRUE
Dickenson Press,thedickinsonpress.com,Local News Outlet,North Dakota,Center,TRUE
The Register,theregister.com,Web Publication,Unspecified,Center,TRUE
The Sunflower,thesunflower.com,Local News Outlet,Kansas,Center,TRUE
The  Times and Democrat,thetandd.com,Local News Outlet,Missouri,Center,TRUE
Tulsa Today,tulsatoday.com,Local News Outlet,Oklahoma,Center,TRUE
UD Review,udreview.com,Local News Outlet,Delaware,Center,TRUE
WBT Radio,wbt.com,Local Broadcast News,North Carolina,Center,TRUE
